Date,Close
5/21/18,35.8
5/22/18,35.72
5/23/18,35.97
5/24/18,35.89
5/25/18,35.68
5/29/18,35.7
5/30/18,36.05
5/31/18,35.93
6/1/18,36.25
6/4/18,36.45
6/5/18,36.44
6/6/18,36.38
6/7/18,36.49
6/8/18,36.67
6/11/18,36.3
6/12/18,36.3
6/13/18,36.22
6/14/18,36.16
6/15/18,36.36
6/18/18,36.16
6/19/18,36.22
6/20/18,36.46
6/21/18,36.3
6/22/18,36.51
6/25/18,36.38
6/26/18,36.38
6/27/18,36.21
6/28/18,36.36
6/29/18,36.28
7/2/18,36.33
7/3/18,36.35
7/5/18,36.87
7/6/18,37.11
7/9/18,37.16
7/10/18,37.43
7/11/18,37.21
7/12/18,37.52
7/13/18,37.53
7/16/18,37.38
7/17/18,37.65
7/18/18,37.66
7/19/18,37.36
7/20/18,37.33
7/23/18,37.21
7/24/18,37.7
7/25/18,37.99
7/26/18,38.16
7/27/18,38.41
7/30/18,38.59
7/31/18,39.93
8/1/18,40.27
8/2/18,39.65
8/3/18,40.54
8/6/18,41.04
8/7/18,40.84
8/8/18,41.41
8/9/18,41
8/10/18,40.93
8/13/18,40.81
8/14/18,40.71
8/15/18,41.16
8/16/18,41.42
8/17/18,42.09
8/20/18,42.33
8/21/18,42.16
8/22/18,42.07
8/23/18,42.2
8/24/18,42.4
8/27/18,41.58
8/28/18,41.5
8/29/18,41.5
8/30/18,41.5
8/31/18,41.52
9/4/18,41.37
9/5/18,41.85
9/6/18,41.78
9/7/18,42.2
9/10/18,42.06
9/11/18,42.31
9/12/18,42.41
9/13/18,42.85
9/14/18,42.96
9/17/18,43.01
9/18/18,43.51
9/19/18,43.26
9/20/18,43.75
9/21/18,44.06
9/24/18,43.93
9/25/18,43.79
9/26/18,43.68
9/27/18,43.9
9/28/18,44.07
10/1/18,44.27
10/2/18,44.22
10/3/18,44.81
10/4/18,44.7
10/5/18,44.91
10/8/18,45.28
10/9/18,45.47
10/10/18,44.51
10/11/18,42.81
10/12/18,43.78
10/15/18,43.12
10/16/18,43.93
10/17/18,44.57
10/18/18,44
10/19/18,44.5
10/22/18,44.37
10/23/18,44.1
10/24/18,42.48
10/25/18,43.41
10/26/18,42.6
10/29/18,43.23
10/30/18,42.89
10/31/18,43.06
11/1/18,43.67
11/2/18,42.93
11/5/18,43.52
11/6/18,43.01
11/7/18,44.4
11/8/18,43.85
11/9/18,44.28
11/12/18,44.11
11/13/18,43.52
11/14/18,42.91
11/15/18,43.21
11/16/18,43.51
11/19/18,44.18
11/20/18,43.53
11/21/18,43.1
11/23/18,43.14
11/26/18,43.34
11/27/18,44.07
11/28/18,44.9
11/29/18,45.51
11/30/18,46.23
12/3/18,45.99
12/4/18,45.14
12/6/18,44.98
12/7/18,43.92
12/10/18,44.4
12/11/18,44.01
12/12/18,44.16
12/13/18,44.57
12/14/18,43.8
12/17/18,43.11
12/18/18,42.4
12/19/18,41.97
12/20/18,41.95
12/21/18,41.93
12/24/18,40.55
12/26/18,42.19
12/27/18,42.85
12/28/18,42.96
12/31/18,43.65
1/2/19,43.25
1/3/19,42.04
1/4/19,43
1/7/19,43.23
1/8/19,43.43
1/9/19,43.34
1/10/19,42.31
1/11/19,42.88
1/14/19,42.37
1/15/19,42.73
1/16/19,42.11
1/17/19,42.47
1/18/19,42.53
1/22/19,42.27
1/23/19,42.16
1/24/19,40.95
1/25/19,40.64
1/28/19,39.53
1/29/19,40.77
1/30/19,41.58
1/31/19,42.45
2/1/19,42.88
2/4/19,42.44
2/5/19,42.11
2/6/19,42.33
2/7/19,41.7
2/8/19,42.23
2/11/19,41.68
2/12/19,41.87
2/13/19,41.7
2/14/19,41.97
2/15/19,42.4
2/19/19,42.6
2/20/19,42.2
2/21/19,42.14
2/22/19,42.96
2/25/19,43.08
2/26/19,43.02
2/27/19,42.93
2/28/19,43.35
3/1/19,43.36
3/4/19,43.07
